Источник,Год публикации,Автор,Страна,Место,Ссылка,Примерные координаты,Широта ,Долгота,
"Biogeography, landscapes, ecosystems and species of Zaonezhye Peninsula, in Lake Onega, Russian Karelia",2014,"Tapio Lindholm, Jevgeni Jakovlev, Alexei Kravchenko ",Россия,Респ. Карелия: остров Хвост,https://www.researchgate.net/profile/Andrei-Humala/publication/281409793_Insect_fauna_of_Zaonezhye_Peninsula_and_adjacent_islands/links/55e5ed2508aecb1a7ccd6062/Insect-fauna-of-Zaonezhye-Peninsula-and-adjacent-islands.pdf,"62.150040, 35.152380",62.150040,35.152380,
The Attack of Leaf-Mining Insects on the Plants Encountered in the Bălteni Forest and Botanical Reserve (Vaslui County),2008,Alina-Maria Stolniciu,Румыния,Васлуи: Заповедник Балтени,http://cercetare.bio.uaic.ro/publicatii/anale_zoologie/issue/2008/15-2008.pdf,"46.675000, 27.623889",46.675000,27.623889,
Results of faunistic research on the beetles (Coleoptera) of Mlyňany Arboretum,2019,"Ján Kollár, Jozef Cunev",Словакия,Млинянский дендрарий,https://www.researchgate.net/profile/Jan-Kollar-5/publication/335518157_Results_of_faunistic_research_on_the_beetles_Coleoptera_of_Mlynany_Arboretum_Vysledky_faunistickeho_prieskumu_chrobakov_Coleoptera_v_Arborete_Mlynany/links/5d6a5782a6fdcc547d6d6334/Results-of-faunistic-research-on-the-beetles-Coleoptera-of-Mlynany-Arboretum-Vysledky-faunistickeho-prieskumu-chrobakov-Coleoptera-v-Arborete-Mlynany.pdf,"48.321667, 18.369167",48.321667,18.369167,
The primeval forest of Kanaküla (Estonia) is rich in rare beetles (Coleoptera),1994,Uno Roosileht,Эстония,Канакюла ,https://www.luomus.fi/sites/default/files/sahlbergia/1994/Sahlbergia-1994_1-Roosileht.pdf,"58.243300, 25.106900",58.243300,25.106900,
Monitoring of Harmful Insect Species in Urban Conditions in Selected Model Areas of Slovakia,2009,"Ján Kollár, Pavel Hrubík, Silvia Tkáčová",Словакия,Нитра,https://www.academia.edu/download/66597598/Monitoring_of_harmful_insect_species_in_20210423-6223-1g7wizg.pdf,"48.306944,18.086389",48.306944,18.086389,
,,,,Топольчаны,,"48.558333,18.170278",48.558333,18.170278,
,,,,Комарно,,"47.764167,18.130000",47.764167,18.130000,
,,,,Партизанске,,"48.632222,18.381667",48.632222,18.381667,
,,,,Приевидза,,"48.770833,18.624167",48.770833,18.624167,
,,,,Пьештяны,,"48.594167,17.834167",48.594167,17.834167,
,,,,Трнава,,"48.378611,17.588333",48.378611,17.588333,
Verzeichniss der in der Pfalz vorkommenden Käfer mit Zugrundlegung der Linz'schen Sammlung aufgestellt,1863,Wilheim Medicus,Германия,Пфальц,https://books.google.com/books?hl=ru&lr=&id=Yy5BAAAAcAAJ&oi=fnd&pg=PA1&dq=Verzeichniss+der+in+der+Pfalz+vorkommenden+K%C3%A4fer+mit+Zugrundlegung+der+Linz%27schen+Sammlung+aufgestellt&ots=TJkK3d-SCE&sig=w8Jw34KlEAa1-T3V6iNm3BY0BGY,"49.500000, 8.000000",49.500000,8.000000,
"Data to 46 beetle families (Coleoptera) from the Duna-Dráva National Park, South Hungary",1998,Ottó Merkl,Венгрия,Бабочка,https://www.researchgate.net/profile/Otto-Merkl/publication/283121979_Data_to_46_beetle_families_Coleoptera_from_the_Duna-Drava_National_Park_South_Hungary/links/562bb05008ae04c2aeb3561e/Data-to-46-beetle-families-Coleoptera-from-the-Duna-Drava-National-Park-South-Hungary.pdf,"48.350000, 18.550000",48.350000,18.550000,
,,,,"Барч, Шсброкас",,"47.916667, 17.516667",47.916667,17.516667,
,,,,Белавар,,"47.916667, 17.516667",47.916667,17.516667,
,,,, Драва-стара,,"45.816667, 17.500000",45.816667,17.500000,
,,,,Драватамаши ,,"45.950000, 17.566667",45.950000,17.566667,
,,,,Герцесенты ,,"45.950000,18.933333",45.950000,18.933333,
,,,,Ортилос,,"46.000000,17.600000",46.000000,17.600000,
,,,,Визвар,,"46.066667,17.800000",46.066667,17.800000,
"Naliboki Forest: Land, Wildlife and Human. 2nd edition: Volume II. Wild animals",2020,Вадим Сидорович,Беларусь,Налибокская пуща,https://books.google.ru/books?hl=ru&lr=&id=5roIEAAAQBAJ&oi=fnd&pg=PA392&dq=trachys+minutus&ots=qI_AdMaMPe&sig=i3lM8i4IucsU9ResGb62ZulnHRg&redir_esc=y#v=onepage&q=trachys&f=false,"53.985278,26.321111",53.985278,26.321111,
List of Coleoptera and Lepidoptera Found in the Government of Olonetz in Russia by Forst-meister Guenther. Reprinted from Volume on Forest Lands and Forestry of Northern Russia,1884,J. C. Brown,Россия,Олонецкая губерния,https://books.google.ru/books?hl=ru&lr=&id=XB5DAAAAYAAJ&oi=fnd&pg=PP5&dq=List+of+Coleoptera+and+Lepidoptera+Found+in+the+Government+of+Olonetz+in+Russia+by+Forst-meister+Guenther.+Reprinted+from+Volume+on+Forest+Lands+and+Forestry+of+Northern+Russia&ots=xaZPF_AKUS&sig=bt9QnYGwE0mor8QM9SbYiWriaqU&redir_esc=y#v=onepage&q=List%20of%20Coleoptera%20and%20Lepidoptera%20Found%20in%20the%20Government%20of%20Olonetz%20in%20Russia%20by%20Forst-meister%20Guenther.%20Reprinted%20from%20Volume%20on%20Forest%20Lands%20and%20Forestry%20of%20Northern%20Russia&f=false,"61.783333,34.350000",61.783333,34.350000,
"Survey on Insect Diversity of Yeonpyeong-do Island, Korea",2012,Seong-Joon Park,Корея,остров Ёнпхёндо,https://www.sciencedirect.com/science/article/pii/S1976864814600931,"37.666667,125.691389",37.666667,125.691389,
A Sas-hegy bogárfaunája (Coleoptera),2012,"Merkl Ottó, Szél Győző",Будапешт,Национальный парк Дунай-Ипой: гора Шаш-хедь,https://www.researchgate.net/profile/Otto-Merkl/publication/259311404_A_Sas-hegy_bogarfaunaja_Coleoptera_Beetles_Coleoptera_of_Mt_Sas-hegy_Budapest_Hungary/links/02e7e52af70992f147000000/A-Sas-hegy-bogarfaunaja-Coleoptera-Beetles-Coleoptera-of-Mt-Sas-hegy-Budapest-Hungary.pdf,"47.481852,19.018247",47.481852,19.018247,
The beetle fauna (Insecta: Coleoptera) of the Svetlogorsk Forest (Russia: Kaliningradskaya Oblast) at the beginning of the XXI century: high biodiversity and protection necessity,2022,В.И. Алексеев,Росиия,Калининградская обл.: Светлогорский лес,https://www.researchgate.net/profile/Vitalii-Alekseev-2/publication/359258520_The_beetle_fauna_Insecta_Coleoptera_of_the_Svetlogorsk_Forest_Russia_Kaliningradskaya_Oblast_at_the_beginning_of_the_XXI_century_high_biodiversity_and_protection_necessity/links/6231ca730837bf2b9edb3bc9/The-beetle-fauna-Insecta-Coleoptera-of-the-Svetlogorsk-Forest-Russia-Kaliningradskaya-Oblast-at-the-beginning-of-the-XXI-century-high-biodiversity-and-protection-necessity.pdf,"54.909167,20.081944",54.909167,20.081944,
Inventaire des coléoptères saproxyliques de treize forêts du canton de Vaud,2018,Gaspard Braulin et al.,Франция,Луан,https://infoscience.epfl.ch/entities/publication/7e194097-8d67-4238-924a-e1c785e3bea4,"48.625400,3.478600",48.625400,3.478600,
"Further Data to the Beetle Fauna of Maramureș, Romania (Coleoptera)",2011,Ottó Merkl,Румыния,Борша,https://www.studiauniversitatis.ro/pdf/21-2011/21-4-2011/SU21-4-2011-Merkl.pdf,"47.655278,24.663056",47.655278,24.663056,
,,,,Родненские горы,,"47.583000,24.666000",47.583000,24.666000,
,,,,Пьетрос,,"47.538000,24.697200",47.538000,24.697200,
"Comparative Insect Faunas between Ganghwado and Six Others Islands of West Coastal in Incheon, Korea",2013,Seong-Joon Park et al,Корея,Кёдондо,https://www.sciencedirect.com/science/article/pii/S2287884X14600108,"37.783333,124.666667",37.783333,124.666667,
Insect Diversity of Mt. Oseosan,2012,Eui-Jeong Hong et al,Корея,гора Осеосан,https://www.sciencedirect.com/science/article/pii/S1976864814601092,"37.190000,127.270000",37.190000,127.270000,
The IUCN European Red List of Saproxylic Beetles – working towards a European Saproxylic Beetle Conservation Strategy,2010,Keith N. A. Alexander,Швейцария,г. Нёвшатель,https://www.researchgate.net/profile/M-Jurc/publication/259702682_Biodiversity_of_saproxylic_beetles_in_managed_conifer_forests_in_Slovenia/links/0deec52d64ab46d8cb000000/Biodiversity-of-saproxylic-beetles-in-managed-conifer-forests-in-Slovenia.pdf,"46.990000,6.930000",46.990000,6.930000,
"Results of a faunistic survey of beetles (Coleoptera) in Hejtmanka Nature Reserve (Czech Republic, northern Moravia, Litovelské Pomoraví Protected Landscape Area) in 2009",2011,Oto Nakládal,Чехия,Северная Моравия: Přírodní rezervace Hejtmanka,https://www.researchgate.net/profile/Oto-Nakladal/publication/302644337_Results_of_a_faunistics_survey_of_beetles_Coleoptera_in_Hejtmanka_Nature_Reserve_Czech_Republic_Northern_Moravia_Litovelske_Pomoravi_Protected_Landscape_Area_in_2009_Vysledky_faunistickeho_pruzkumu_br/links/5731f54308aea45ee83639ca/Results-of-a-faunistics-survey-of-beetles-Coleoptera-in-Hejtmanka-Nature-Reserve-Czech-Republic-Northern-Moravia-Litovelske-Pomoravi-Protected-Landscape-Area-in-2009-Vysledky-faunistickeho-pruzkumu.pdf,"49.750000,17.500000",49.750000,17.500000,
Coleotterofauna del bosco di Policoro (Matera) (Coleoptera),1986,"Fernando Angelini, Fernando Montemurro",Италия,Лес Поликоро,https://escholarship.org/content/qt5221533b/qt5221533b.pdf,"40.200000,16.666667",40.200000,16.666667,
Jahresexkursion ostsächsischer Koleopterologen 2023 ,2024,"Jörg Lorenz, Olaf Jäger, Ronny Gutzeit",Швейцария,Neumannmühle,https://lorenzjoerg.de/ffh/Lorenz&Jaeger&Gutzeit_2024_14teKaeferExi_SaechsiSchweiz_MSE_2024_06.pdf,"50.884167,14.219722",50.884167,14.219722,
,,,,Лихтенхайн,,"50.944594,14.239353",50.944594,14.239353,
,,,,Großer Zschand,,"50.878611,14.253889",50.878611,14.253889,
Prachtkevers aan de westrand van Brussel (Coleoptera: Buprestidae),2005,Willy Troukens,Бельгия,Моленбек-Сен-Жан,http://www.phegea.org/Phegea/2005/Phegea33-2_76-79.pdf,"50.854360,4.322780",50.854360,4.322780,
,,,,Веммел,,"50.909722, 4.306944",50.909722,4.306944,
,,,,Дилбек,,"50.848070,4.266260",50.848070,4.266260,
Et de deux… Trachys inédits ou redécouverts dans le département du Loiret et un point local sur la tribu des Tracheini (Coleoptera Buprestidae),2012,"Michel Binon, Jean-David Chapelin-Viscardi",Франция,Департамент Луаре,http://www.laboratoireecoentomologie.com/wp-content/uploads/2020/12/A10-68.BinonChapelin-Viscardi_-Trachys-fragariae.pdf,"47.917000,2.167000",47.917000,2.167000,
"Het beukensmalbuikje, Agrilus viridis (Coleoptera:Buprestidae) aan de westrand van Brussel",2008,Willy Troukens,Бельгия,г. Брюссель (западная окраина),http://www.phegea.org/Phegea/2008/Phegea36-3_101-102.pdf,"50.850000,4.300000",50.850000,4.300000,
Встречаемость минирующих фитофагов широколиственных древесных пород в лесах национального парка «Нарочанский»,2024,"Ф.В. Сауткин, Ф.Г. Яковчик, С.В. Буга",Беларусь,Национальный парк «Нарочанский»,https://conf.grsu.by/cei/images/files/CEI2024/cei2024.pdf#page=142,"54.850000,26.833333",54.850000,26.833333,
Zur Insektenfauna der Talhänge „Ringelstaler” und „Weinhalde” sowie des Theobaldswaldes bei Edelfingen (Main-Tauber-Kreis),1994,Jürgen Trautner,Германия,Заповедник Ringelstaler-Weinhalde,https://www.researchgate.net/publication/351625089_Zur_Insektenfauna_der_Talhange_Ringelstaler_und_Weinhalde_sowie_des_Theobaldswaldes_bel_Edelfingen_Main-Tauber-Kreis,"49.514153,9.742427",49.514153,9.742427,
Brouci vybraných rašelinných a podmáčených stanovišť v centrální části Českomoravské vrchoviny,2015,Václav Křivan,Чехия,Jihlava: заповедник Doupský a Bažantka,http://www.prirodavysociny.cz/pdf/BrouciRaselinist2015.pdf,"49.440000,15.600000",49.440000,15.600000,
,,,,Jihlava: Ještěnice,,"49.450000,15.583333",49.450000,15.583333,
,,,,Jihlava: заповедник Na Oklice,,"49.403889,15.395000",49.403889,15.395000,
,,,,Jihlava: заповедник Rašeliniště Loučky,,"49.473056,15.435556",49.473056,15.435556,
,,,,Jihlava: Rašeliniště Pod Trojanem,,"49.500000,15.583333",49.500000,15.583333,
,,,,Jihlava: природный памятник U Šeredů,,"49.516667,15.533333",49.516667,15.533333,
Krasci Velké Prahy po 35 letech,2017,Svatopluk Bily,Чехия,г. Прага 4: район Kunratice,https://ziva.avcr.cz/files/ziva/pdf/krasci-velke-prahy-po-35-letech.pdf,"50.013333,14.485556",50.013333,14.485556,
,,,,г. Прага 9: район Malešice,,"50.083333,14.500000",50.083333,14.500000,
,,,,г. Прага 7: парк Stromovka,,"50.107500,14.418333",50.107500,14.418333,
,,,,г. Прага 6: парк Šárka,,"50.099167,14.318056",50.099167,14.318056,
,,,,г. Прага 7: район Troja,,"50.122222, 14.419722",50.122222,14.419722,
,,,,г. Прага 12: городище Závist,,"49.970000, 14.390000",49.970000,14.390000,
Buprestidae (Coleoptera) of the Natura 2000 site “Dolina Zwoleńki”,2000,"J. M. Gutowski, M. Miłkowski ",Польша,Анджеюв-Боровец близ Пшиленка,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwio0aa3guuTAxWNAxAIHTiYHokQFnoECBkQAQ&url=https%3A%2F%2Fkp.org.pl%2Fimages%2Fpp%2Fartyku%25C5%2582y_od_2019%2F2_2020_XXXI_2%2FPP_nr%25202_2020_Gutowski.pdf&usg=AOvVaw1lMGTOVGIRVS_r3P0VFiMK&opi=89978449,"51.266700, 21.783300",51.266700,21.783330,
,,,,близ Барьч-Нова,,"51.312090, 21.643540",51.312090,21.643540,
,,,,Барьч-Стара близ Зволеня,,"51.300000, 21.600000",51.300000,21.600000,
,,,,заповедник «Боровец»,,"51.269400, 21.780900",51.269400,21.780900,
,,,,Бонченчина близ Зволеня,,"51.366667, 21.550000",51.366667,21.550000,
,,,,Гняздкув близ Хотчи,,"51.270000, 21.770000",51.270000,21.770000,
,,,,Кшивда близ Пшиленка,,"51.283333, 21.783333",51.283333,21.783333,
,,,,Люцимя близ Пшиленка,,"51.266667, 21.750000",51.266667,21.750000,
,,,,Руда близ Пшиленка,,"51.300000, 21.783333",51.300000,21.783333,
,,,,Зелёнка-Нова близ Зволеня,,"51.366667, 21.583333",51.366667,21.583333,
,,,,Зволень,,"51.356389, 21.585278",51.356389,21.585278,
Brouci (Coleoptera) Žihle a okolí. 6.část. Buprestidae,2013,Václav Týr,Чехия,Жихле,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjOlKTGguuTAxWbGBAIHbd5AYgQFnoECBoQAQ&url=https%3A%2F%2Fentolisty.cz%2Fwp-content%2Fuploads%2F2021%2F07%2F04-05-Tyr.pdf&usg=AOvVaw2Djui0rFwtGjy5cD5hT2t8&opi=89978449,"52.250000,19.633333",52.250000,19.633333,
Excursieverslag Huis ter Heide – 9 mei 1998,1999,Oscar Vorst et al.,Нидерланды,Huis ter Heide,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjxwrnNguuTAxUAIxAIHZgbNrgQFnoECBkQAQ&url=https%3A%2F%2Fnatuurtijdschriften.nl%2Fpub%2F564488&usg=AOvVaw2bHh_mAFqHejulV1n6ARDM&opi=89978449,"52.116667, 5.250000",52.116667,5.250000,
Excursieverslag Landgoed Beekvliet te Borculo 26 juni 2010,2011,Frank van Nunen et al.,Нидерланды,Боркуло,https://natuurtijdschriften.nl/pub/564928/SEI2011091001010.pdf,"52.150000, 6.666667",52.150000,6.666667,
"Coleotteri buprestidi del Piemonte e Valle d'Aosta. Catalogo ragionato delle specie di buprestidi (Coleoptera, Buprestidae) che popolano le due regioni",1980,Gianfranco Curletti,Италия,Карманьола,https://www.storianaturale.org/anp/PDF%20ANP/01_1980_Curletti_Coleotteri%20Buprestidi%20del%20Piemonte%20e%20della%20Valle%20d'Aosta_69-104.pdf,"44.850000, 7.716667",44.850000,7.716667,
,,,,Лузерна С. Джованни,,"44.816667, 7.250000",44.816667,7.250000,
,,,,Вилларбоа,,"45.050000, 7.466667",45.050000,7.466667,
,,,,Кресчентино,,"45.183333, 8.100000",45.183333,8.100000,
,,,,Кандия,,"45.333333, 7.883333",45.333333,7.883333,
,,,,Ивреа,,"45.466667, 7.883333",45.466667,7.883333,
,,,,Гарессио,,"44.200000, 8.016667",44.200000,8.016667,
,,,,Альба,,"44.700000, 8.033333",44.700000,8.033333,
,,,,Боссоласко,,"44.533333, 8.050000",44.533333,8.050000,
,,,,Санфронт,,"44.646980, 7.322430",44.646980,7.322430,
,,,,Моретта,,"44.533333, 7.800000",44.533333,7.800000,
,,,,Салуццо,,"44.666667, 7.500000",44.666667,7.500000,
,,,,Чистерна д'Асти,,"44.800000, 8.033333",44.800000,8.033333,
,,,,Чинзано ,,"44.800000, 8.016667",44.800000,8.016667,
,,,,Кастельнуово дон Боско,,"45.066667, 8.016667",45.066667,8.016667,
,,,,Раккониджи,,"44.766667, 7.683333",44.766667,7.683333,
,,,,Соммарива Боско,,"44.800000, 7.933333",44.800000,7.933333,
,,,,Караманья,,"44.683333, 7.683333",44.683333,7.683333,
Kevers van de Meinweg (Coleoptera),2013,Ed Colijn et al.,Нидерланды,парк Meinweg,,"51.160000, 6.120000",51.160000,6.120000,
Скрытоживущие членистоногие филлофаги древесной растительности города Белгорода,2011,В.В. Стручаев,Россия,г. Белгород,https://cyberleninka.ru/article/n/skrytozhivuschie-chlenistonogie-fillofagi-drevesnoy-rastitelnosti-goroda-belgoroda,"50.610700, 36.580200",50.610700,36.580200,
2582 soorten planten en dieren in Amersfoort,2017,Ed Colijn et al.,Нидерланды,Амерсфоорт,https://natuurtijdschriften.nl/pub/1002409/EIS2017065001003.pdf,"52.156722, 5.384167",52.156722,5.384167,
Excursieverslag Barneveld – 7 mei 2011,2012,Oscar Vorst et al. ,Нидерланды,Барневелд,https://natuurtijdschriften.nl/pub/564967/SEI2012095001010.pdf,"52.133333, 5.583333",52.133333,5.583333,
Excursieverslag Beerzedal – 15 juni 2002 ,2004,Bas Drost et al.,Нидерланды,Beerzedal,https://natuurtijdschriften.nl/pub/564636/SEI2004062001007.pdf,"51.366400, 5.249700",51.366400,5.249700,
Excursieverslag Bargerveen  ,1998,Oscar Vorst et al. ,Нидерланды,Заповедник Баргервен,https://natuurtijdschriften.nl/pub/564436/SEI1998039001005.pdf,"52.676389, 7.025556",52.676389,7.025556,
"Jewel beetles (Coleoptera, Buprestidae) of the southern foot of Mount Fuji, Shizuoka Prefecture, Japan",2021,Yutaka Tamadera et al.,Япония,Южная часть горы Фудзи,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiX7ayTg-uTAxVsT1UIHVX9A_MQFnoECCEQAQ&url=https%3A%2F%2Fwww.researchgate.net%2Fpublication%2F357299925_fushishannanludeyujinggangxiannotamamushikejiachong_Jewel_beetles_Coleoptera_Buprestidae_of_the_southern_foot_of_Mount_Fuji_Shizuoka_Prefecture_Japan&usg=AOvVaw0UM1Jxo3S1xZG1matvV3Zy&opi=89978449,"35.360833, 138.727500",35.360833,138.727500,
Koleopterologische Ergebnisse aus dem Altmühltal (Oberbayern) (Coleoptera),2013,"Jens Esser, Tobias Mainda",Германия,Заповедник Альтмюльталь,https://www.researchgate.net/profile/Jens-Esser/publication/283710536_Koleopterologische_Ergebnisse_aus_dem_Altmuhltal_Oberbayern_Coleoptera/links/5643979108aef646e6c6bbda/Koleopterologische-Ergebnisse-aus-dem-Altmuehltal-Oberbayern-Coleoptera.pdf,"48.933333, 11.683333",48.933333,11.683333,
"Nouvelle contribution à la connaissance de l’entomofaune  
du domaine des Barres (Nogent-sur-Vernisson, Loiret) 
(Coleoptera) ",2013,Julien Fleury,Франция,Луаре: Ножан-сюр-Верниссон,https://www.researchgate.net/profile/Julien-Fleury-3/publication/341490589_Nouvelle_contribution_a_la_connaissance_de_l'entomofaune_du_domaine_des_Barres_Nogent-sur-Vernisson_Loiret_Coleoptera/links/609501cea6fdccaebd124fde/Nouvelle-contribution-a-la-connaissance-de-lentomofaune-du-domaine-des-Barres-Nogent-sur-Vernisson-Loiret-Coleoptera.pdf,"47.847200,  2.742800",47.847200,2.742800,
Verslag excursie Bloemkampen (Veluwe) – 16 juni 2012,2013,Gert van Ee et al.,Нидерланды,Bloemkampen,https://natuurtijdschriften.nl/pub/565016/SEI2013099001011.pdf,"52.366667, 5.700000",52.366667,5.700000,
"L'entomocenosi xilofaga del Parco della Mandria (Piemonte, Italia)",1996,Gianfranco Curletti,Италия,Пьемонт: Парк Мандрия,https://www.storianaturale.org/anp/PDF%20ANP/17_1996_Curletti_L'entomocenosi%20xilofaga%20del%20Parco%20della%20Mandria_151-165.pdf,"45.141612, 7.611062",45.141612,7.611062,
Novedades y cambios taxonómicos en los bupréstidos ibéricos y baleares posteriores a la monografía del Dr. Cobos (1986) (Coleoptera: Buprestidae),2003,"Lucía Arnáiz Ruiz, Pablo Bercedo Páramo",Испания,Астурия: г. Овьедо,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjnvoTEg-uTAxXxHxAIHb9mAMcQFnoECBAQAQ&url=https%3A%2F%2Fscispace.com%2Fpdf%2Fnovedades-y-cambios-taxonomicos-en-los-buprestidos-ibericos-1fydfjja9c.pdf&usg=AOvVaw18OMjkjWgdQ3mFzPWpP3En&opi=89978449,"43.360000, -5.845000",43.360000,-5.845000,
,,,,Андалусия: г. Малага,,"36.720000, -4.420000",36.720000,-4.420000,
,,,Португалия,провинция Рибатежу,,"39.350000, -8.400000",39.350000,-8.400000,
Excursieverslag Strabrechtse Heide – 7 t/m 9 september 2012,2013,Frank van Nunen et al.,Нидерланды,Strabrechtse Heide: заповедник де Пан,https://natuurtijdschriften.nl/pub/565024/SEI2013100001006.pdf,"51.400000, 5.616667",51.400000,5.616667,
A gyűrűfűi Biodiverzitás Napokon gyűjtött 49 család bogarai (Insecta: Coleoptera),2009,"Rőzner György, Rőzner István",Венгрия,уезд Баранья: Горы Вилланьи,https://real.mtak.hu/157843/2/866bd0b3338bdb37a557b53d37d51171.pdf,"45.866667, 18.450000",45.866667,18.450000,
,,,,уезд Баранья: Dráva mellék,,"45.850000, 18.000000",45.850000,18.000000,
,,,,уезд Баранья: парк Béda-Karapancsa,,"45.783333, 18.866667",45.783333,18.866667,
Verslag van de Atalanta vzw. excursies in 2022,2023,Chantal Martens et al.,Бельгия,Drongengoed: военный аэродром,https://www.researchgate.net/profile/Chantal-Martens-2/publication/367177433_Verslag_van_de_Atalanta_vzw_excursies_in_2022/links/63c58255d7e5841e0bd2fefb/Verslag-van-de-Atalanta-vzw-excursies-in-2022.pdf,"51.2347, 4.3497",51.2347,4.3497,
"Fauna brouků (Coleoptera) přírodní památky Velikonoční 
rybník",2020,Michal Ouda,Чехия,ОПТ Velikonoční rybník,https://entolisty.cz/wp-content/uploads/2021/07/11-03-Ouda.pdf,"50.0219, 15.5250",50.0219,15.5250,
Profilo faunistico e bio-ecologico dei coleotteri Buprestidi (insetti) nel comprensorio Monte Mauro-Monte della Volpe (Parco Regionale della Vena del Gesso Romagnola),2019,"Ettore Contarini, Alfio Mingazzini",Италия,Monte Mauro,https://www.venadelgesso.it/mm/18.pdf,"44.2369, 11.7016",44.2369,11.7016,
,,,,Monte della Volpe,,"44.2460, 11.6750",44.2460,11.6750,
"Latrányi Puszta Természetvédelmi Terület díszbogarai 
(Coleoptera: Buprestidae) ",2003,Muskovits József,Венгрия,Латрань,https://scholar.archive.org/work/bbrffregwzc4dehdpgzgfugrm4/access/wayback/http://smmi.hu/termtud/ns/ns5/Muskovich%20NS5.pdf,"48.2858, 21.7969",48.2858,21.7969,
"Fauna brouků (Coleoptera) lokality Bystřina – Lužní 
potok (Evropsky významná lokalita soustavy Natura 
2000)",2011,Stanislav Benedikt,Чехия,Карловарский край: EVL Bystřina – Lužní potok,https://entolisty.cz/wp-content/uploads/2021/07/02-04-Benedikt.pdf,"50.2094, 12.3250",50.2094,12.3250,
"Vergleichende Untersuchung der Käferfauna an drei Halbtrockenrasen im Unteren Steyrtal (Keltenweg, Kreuzberg, Kuhschellenböschung Neuzeug) in Oberösterreich",2001,"Heinz Mitter, Franz Essl",Австрия,Keltenweg (близ г. Лохен),https://www.land-oberoesterreich.gv.at/files/naturschutz_db/Mitter_Endbericht_Untersuchung_Kaeferfauna_Halbtrockenrasen.pdf,"48.0456, 13.1922",48.0456,13.1922,
"Indagine sulla entomofauna della Riserva Naturale ""della Rocca, del Sasso e Parco Lacuale"" (Manerba del Garda, Lombardia)",2020,Mario Grottolo,Италия,"Манерба-дель-Гарда: Riserva Naturale ""della Rocca, del Sasso e Parco Lacuale""",https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiI7OyJhOuTAxWdHxAIHejeGRwQFnoECBEQAQ&url=https%3A%2F%2Fdialnet.unirioja.es%2Fservlet%2Farticulo%3Fcodigo%3D7851218&usg=AOvVaw1cIcxQ2K4aAJenzGsY6AsR&opi=89978449,"45.5531, 10.5612",45.5531,10.5612,
Brouci (Coleoptera) přírodní rezervaceBuky u Vysokého Chvojna (Česká Republika),2007,Josef Mertlik,Чехия,Vysoké Chvojno: заповедник Buky,https://www.elateridae.com/clanky/75/pr_buky_u_vysokeho_chvojna__11_12_2007.pdf,"50.1117, 15.9750",50.1117,15.9750,
"Inventaire entomologique des dunes éoliennes et des zones humides de la réserve naturelle de Pont-Seille (La Truchère-Ratenelle, Saône-et-Loire)",2006,"Jean-Claude Bourdonné, Bernard Bordy, Roland Allemand",Франция,заповедник Pont-Seille,https://www.persee.fr/doc/linly_0366-1326_2006_num_75_10_13643,"51.2467, 7.2058",51.2467,7.2058,
Materiały do poznania fauny Kampinoskiego Parku Narodowego: bogatkowate (Coleoptera: Buprestidae) ,2020,"Dawid Marczak, Roman Królik, Jerzy Borowski",Польша,Кампиноский национальный парк,https://www.researchgate.net/profile/Dawid-Marczak/publication/342834464_Contribution_to_the_knowledge_of_the_fauna_of_Kampinos_National_Park_jawel_beetles_Coleoptera_Buprestidae/links/5f08515a299bf188161037e4/Contribution-to-the-knowledge-of-the-fauna-of-Kampinos-National-Park-jawel-beetles-Coleoptera-Buprestidae.pdf,"52.2986, 20.8950",52.2986,20.8950,
Актуальные изменения видового состава и плотности популяций насекомых-филлофагов в Санкт-Петербурге,2020,Буй Динь Дык и др.,Россия,г. Санкт-Петербург: парк Лесотехнического университета,https://spbftu.ru/uploads/the_science/general-science-information/publications/230-05_Compressed.pdf,"59.9972, 30.3175",59.9972,30.3175,
,,,,г. Санкт-Петербург: Павловский парк,,"59.6850, 30.4378",59.6850,30.4378,
,,,,г. Санкт-Петербург: Петергоф,,"59.8750, 29.9125",59.8750,29.9125,
,,,,г. Санкт-Петербург: Московский парк победы,,"59.8564, 30.3308",59.8564,30.3308,
,,,,г. Пушкин: Екатерининский парк,,"59.7117, 30.4286",59.7117,30.4286,
,,,,г. Пушкин: Александровский парк,,"59.7225, 30.3900",59.7225,30.3900,
,,,,г. Пушкин: Баболовский парк,,"59.6808, 30.3608",59.6808,30.3608,
,,,,г. Сестрорецк: Центральный парк культуры и отдыха,,"60.0947, 29.9572",60.0947,29.9572,
,,,,г. Сестрорецк: Нижний парк,,"60.0972, 29.9572",60.0972,29.9572,
,,,,г. Сестрорецк: Средний парк,,"60.0972, 29.9625",60.0972,29.9625,
